obstacle_rate,heuristic,runs,solvable_runs,path_found_rate,optimality_rate,mean_expanded_nodes,mean_runtime_seconds,mean_path_length,mean_overestimate_rate
0.1,dijkstra,100,96,1.0,1.0,360.5416666666667,0.0007509053436744276,38.0,0.0
0.1,manhattan,100,96,1.0,1.0,318.9791666666667,0.0007456506251628525,38.0,0.0
0.1,mlp_table,100,96,1.0,1.0,139.90625,0.0007635156147216549,38.0,0.9309744292948183
0.1,unet,100,96,1.0,1.0,228.34375,0.001322446645758646,38.0,0.5676966909443611
0.2,dijkstra,100,76,1.0,1.0,318.0263157894737,0.000639917171060676,38.18421052631579,0.0
0.2,manhattan,100,76,1.0,1.0,218.42105263157896,0.0005088492236705191,38.18421052631579,0.0
0.2,mlp_table,100,76,1.0,1.0,120.35526315789474,0.000660964368235957,38.18421052631579,0.744135179884938
0.2,unet,100,76,1.0,0.9736842105263158,150.98684210526315,0.0008516238947442233,38.23684210526316,0.7790954309534248
0.3,dijkstra,100,47,1.0,1.0,260.3404255319149,0.0005056861912422352,40.04255319148936,0.0
0.3,manhattan,100,47,1.0,1.0,149.3404255319149,0.00033877925527625114,40.04255319148936,0.0
0.3,mlp_table,100,47,1.0,1.0,109.0,0.0005947348936581662,40.04255319148936,0.44054135511158066
0.3,unet,100,47,1.0,0.9787234042553191,121.23404255319149,0.0006281684252710275,40.08510638297872,0.7478964634562922
0.4,dijkstra,100,6,1.0,1.0,183.5,0.0003438820000762159,41.666666666666664,0.0
0.4,manhattan,100,6,1.0,1.0,106.0,0.0002305141664085871,41.666666666666664,0.0
0.4,mlp_table,100,6,1.0,1.0,95.5,0.00048687516664358554,41.666666666666664,0.32306654982287725
0.4,unet,100,6,1.0,1.0,108.0,0.0005208683332966757,41.666666666666664,0.6347630027347262
